NOM_POBLAD,hosp_in_10km
TUNASPAMPA,0
TAMBO,0
SHIGUA,0
HUARAL,0
VANDURRIA,0
CENTENARIO HUACHO CHICO,0
ESPERANZA CENTRAL,0
LA FLORIDA,0
MARIA PAZ,0
CABUYAL ALTO,0
CABUYAL,0
GRANADOS,0
FUKUDA,0
TUPAC AMARU,0
ESPERANZA BAJA,0
CERRO CENIZO,0
JECUAN,0
VICTORIA,0
CHACRA GRANDE,0
LA QUINCHA,0
RETES,0
MONTERRICO,0
SAN ISIDRO,0
CERRO PRIETO,0
LA VIRGEN,0
ESPERANZA ALTA,0
ANDOMAS,0
GARCIA ALONZO,0
SAN MARTIN DE PORRES,0
BARRIO UNION OBRERO,0
CAMPO GRANDE,0
TRONCONAL,0
PUEBLO LIBRE,0
EL TRES,0
HUAYAN,0
HORNILLOS,0
LINDERO,0
PORTILLO,0
CUYO,0
LUMBRA,0
PASA BRONCANO,0
SAN MIGUEL,0
TOTORAL,0
QUISQUE ALTO,0
PIRCA,0
CORMO,0
HUAROQUIN,0
CHISQUE,0
PASAC,0
COLLPOR,0
BAÑOS,0
CONTADERA,0
SAN AGUSTIN DE HUAYOPAMPA,0
ANTACOTO,0
HUALHUARACHE,0
MATACA,0
COTANGA,0
LA FLORIDA,0
PEÑON CHINCHO,0
CAMPAMENTO,0
ANASMAYO,0
CHUPANCA,0
LLACTACOTO,0
PIRURO,0
PALCACANCHA,0
LUCCUMA,0
